SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
MAR600-Black 13ft x 29in,Table Skirting,,Black,"{'Color Selection': 'Black', 'Size Selection': '21ft 6in x 29in (+$125.00)'}",32.0,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27503.html
MAR300,Table Skirting,,White,"{'Color Selection': 'White', 'Size Selection': '13ft x 29in'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,White,"{'Color Selection': 'White', 'Size Selection': '17ft 6in x 29in (+$60.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,White,"{'Color Selection': 'White', 'Size Selection': '21ft 6in x 29in (+$114.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Straw,"{'Color Selection': 'Straw', 'Size Selection': '13ft x 29in'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Straw,"{'Color Selection': 'Straw', 'Size Selection': '17ft 6in x 29in (+$60.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Straw,"{'Color Selection': 'Straw', 'Size Selection': '21ft 6in x 29in (+$114.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Olive,"{'Color Selection': 'Olive', 'Size Selection': '13ft x 29in'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Olive,"{'Color Selection': 'Olive', 'Size Selection': '17ft 6in x 29in (+$60.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Olive,"{'Color Selection': 'Olive', 'Size Selection': '21ft 6in x 29in (+$114.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Slate Blue,"{'Color Selection': 'Slate Blue', 'Size Selection': '13ft x 29in'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Slate Blue,"{'Color Selection': 'Slate Blue', 'Size Selection': '17ft 6in x 29in (+$60.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Slate Blue,"{'Color Selection': 'Slate Blue', 'Size Selection': '21ft 6in x 29in (+$114.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Dusty Rose,"{'Color Selection': 'Dusty Rose', 'Size Selection': '13ft x 29in'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
MAR300,Table Skirting,,Dusty Rose,"{'Color Selection': 'Dusty Rose', 'Size Selection': '17ft 6in x 29in (+$60.00)'}",30.67,Table Skirting,Marquis,100% Polyester,Snap Drape Marquis Box Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/mar100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/marquiscolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/Boxpleat.jpg']",https://www.ahscompany.com/Snap-Drape-Marquis-Box-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_20178.html
